Designator,Mid X,Mid Y,Layer,Rotation
BT1,54.1425,33.6,top,0
C1,87.8768,51.2,top,90
C2,61.525,49.675,top,180
C3,86.1768,51.2,top,90
C4,68.575,49.65,top,180
C5,118.95,53.9375,top,90
C6,102.05,8.79,top,90
C7,72.05,8.89,top,90
C8,88,26.525,top,180
C9,122.25,-10.81,top,180
C10,81.65,-10.61,top,180
C11,98.95,-3.61,top,180
C12,69.25,-3.41,top,180
C13,81.75,16.025,top,90
C14,89.95,16.025,top,-90
C15,111.0375,0.69,top,-90
C16,106.575,13.3,top,180
C17,111.1,6.35,top,-90
C18,74.75,6.49,top,90
C19,104.775,18.3,top,90
C20,74.85,1.39,top,90
C21,103.075,18.3,top,90
C22,52.645,10.675,top,180
C23,55.7175,20.375,top,0
D1,116.45,53.9,top,-90
J1,79.51,57.6,top,180
J2,91.7,-14.2,top,0
J3,123,41.1,top,90
J4,122,3.3,top,90
J5,69.45,-18,top,0
J6,107.3,-14.2,top,0
J7,123,21.9,top,90
PS1,106.8,3.43,top,90
PS2,78.95,3.49,top,-90
R1,61.525,48.175,top,0
R2,68.575,48.15,top,0
R3,81.635,50.6168,top,180
R4,76.835,50.6168,top,180
R5,122.25,-7.61,top,0
R6,122.25,-9.21,top,180
R7,81.65,-7.41,top,0
R8,81.65,-9.01,top,180
R9,58.255,11.075,top,0
R10,58.255,9.475,top,180
R11,53.945,22.075,top,180
R12,119.2875,39.82,top,180
R13,119.2875,42.33,top,180
R14,119.2875,44.84,top,180
R15,119.2875,47.35,top,180
R16,119.4375,20.63,top,180
R17,119.4375,23.14,top,180
R18,119.4375,25.65,top,180
R19,119.4375,28.16,top,180
S1,68.55,54.85,top,180
S2,61.45,54.875,top,180
U1,98.86,46.64,top,0
U2,85.9875,22,top,0
U3,96.0675,3.415,top,-90
U4,66.3,3.49,top,-90
U5,110.325,17.35,top,0
U6,54.15,15.6,top,-90
Y1,85.85,15.971,top,0
