Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
12,0.20mm (7.87mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
92,0.25mm (9.84mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Via
4,0.65mm (25.59mils),PTH,Slot,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
8,0.94mm (37.01mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
8,0.95mm (37.40mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
8,1.00mm (39.37mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
12,1.40mm (55.12mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,1.50mm (59.06mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,1.60mm (62.99mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,1.62mm (63.78mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
4,3.20mm (125.98mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
Total 154,,,,,
